259,1024:30.1640926640
33152,8:30.1640926640
4144,64:30.1640926640
33151,8:30.1650025640
33150,8:30.1659125188
33149,8:30.1668225285
33148,8:30.1677325932
33147,8:30.1686427127
33146,8:30.1695528872
33145,8:30.1704631166
33144,8:30.1713734009
4143,64:30.1713734009
33143,8:30.1722837401
33142,8:30.1731941343
33141,8:30.1741045834
33140,8:30.1750150875
33139,8:30.1759256465
33138,8:30.1768362604
33137,8:30.1777469294
33136,8:30.1786576533
4142,64:30.1786576533
33135,8:30.1795684321
33134,8:30.1804792660
33133,8:30.1813901548
33132,8:30.1823010986
33131,8:30.1832120974
33130,8:30.1841231512
33129,8:30.1850342600
33128,8:30.1859454238
4141,64:30.1859454238
33127,8:30.1868566426
33126,8:30.1877679164
33125,8:30.1886792452
33124,8:30.1895906291
33123,8:30.1905020680
33122,8:30.1914135619
33121,8:30.1923251109
1035,256:30.1932367149
33120,8:30.1932367149
4140,64:30.1932367149
33119,8:30.1941483740
33118,8:30.1950600881
33117,8:30.1959718573
33116,8:30.1968836816
33115,8:30.1977955609
33114,8:30.1987074953
33113,8:30.1996194847
33112,8:30.2005315293
4139,64:30.2005315293
33111,8:30.2014436290
33110,8:30.2023557837
33109,8:30.2032679935
33108,8:30.2041802585
33107,8:30.2050925786
33106,8:30.2060049537
33105,8:30.2069173840
33104,8:30.2078298695
4138,64:30.2078298695
33103,8:30.2087424100
33102,8:30.2096550057
33101,8:30.2105676565
33100,8:30.2114803625
33099,8:30.2123931236
33098,8:30.2133059399
33097,8:30.2142188113
33096,8:30.2151317379
4137,64:30.2151317379
33095,8:30.2160447197
33094,8:30.2169577566
33093,8:30.2178708488
33092,8:30.2187839961
33091,8:30.2196971986
33090,8:30.2206104563
33089,8:30.2215237692
1034,256:30.2224371373
33088,8:30.2224371373
4136,64:30.2224371373
33087,8:30.2233505606
33086,8:30.2242640391
33085,8:30.2251775729
33084,8:30.2260911618
33083,8:30.2270048060
33082,8:30.2279185055
33081,8:30.2288322602
33080,8:30.2297460701
4135,64:30.2297460701
33079,8:30.2306599353
33078,8:30.2315738557
33077,8:30.2324878314
33076,8:30.2334018623
33075,8:30.2343159486
33074,8:30.2352300901
33073,8:30.2361442868
33072,8:30.2370585389
4134,64:30.2370585389
33071,8:30.2379728463
33070,8:30.2388872089
33069,8:30.2398016269
33068,8:30.2407161001
33067,8:30.2416306287
33066,8:30.2425452126
33065,8:30.2434598518
33064,8:30.2443745463
4133,64:30.2443745463
33063,8:30.2452892961
33062,8:30.2462041013
33061,8:30.2471189619
33060,8:30.2480338777
33059,8:30.2489488490
33058,8:30.2498638756
33057,8:30.2507789575
1033,256:30.2516940948
33056,8:30.2516940948
4132,64:30.2516940948
33055,8:30.2526092875
33054,8:30.2535245356
33053,8:30.2544398390
33052,8:30.2553551978
33051,8:30.2562706120
33050,8:30.2571860816
33049,8:30.2581016067
33048,8:30.2590171871
4131,64:30.2590171871
33047,8:30.2599328229
33046,8:30.2608485141
33045,8:30.2617642608
33044,8:30.2626800629
33043,8:30.2635959204
33042,8:30.2645118334
33041,8:30.2654278018
33040,8:30.2663438256
4130,64:30.2663438256
33039,8:30.2672599049
33038,8:30.2681760397
33037,8:30.2690922299
33036,8:30.2700084756
33035,8:30.2709247767
33034,8:30.2718411333
33033,8:30.2727575454
33032,8:30.2736740130
4129,64:30.2736740130
33031,8:30.2745905361
33030,8:30.2755071147
33029,8:30.2764237488
33028,8:30.2773404384
33027,8:30.2782571835
33026,8:30.2791739841
33025,8:30.2800908402
1032,256:30.2810077519
258,1024:30.2810077519
33024,8:30.2810077519
4128,64:30.2810077519
33023,8:30.2819247191
33022,8:30.2828417418
33021,8:30.2837588201
